Time (s),W,X,Y,Z
1.612765312,-0.3878287,-0.5850126,0.3881155,0.5944268
1.617825031,-0.3877998,-0.5822249,0.3884551,0.5969555
1.622876644,-0.3876688,-0.5793889,0.3887805,0.5995822
1.627931595,-0.3875325,-0.5764444,0.3891228,0.6022801
1.632987022,-0.3874564,-0.5733589,0.389488,0.605032
1.638042450,-0.3874622,-0.5701026,0.3898699,0.6078529
1.643097401,-0.3874651,-0.5667254,0.3902424,0.6107631
1.648152828,-0.3874761,-0.5632292,0.3906035,0.613752
1.653208256,-0.3873481,-0.5597105,0.390886,0.6168642
1.658264160,-0.3870295,-0.5562136,0.3911185,0.6200714
1.663319588,-0.3866514,-0.5526479,0.391413,0.6233013
1.668375015,-0.3862963,-0.5489911,0.3917949,0.626505
1.673429966,-0.3859677,-0.5452825,0.3923309,0.629603
1.678485393,-0.3857701,-0.5414915,0.393126,0.6324935
1.683540821,-0.385675,-0.5376758,0.3941981,0.6351339
1.688595772,-0.3855842,-0.5339262,0.3954643,0.6375604
1.693651199,-0.3853324,-0.5303727,0.3967468,0.6398776
1.698707104,-0.3847653,-0.5271668,0.3978578,0.6421742
1.703762531,-0.3837253,-0.5244536,0.3986053,0.6445501
1.708817959,-0.382322,-0.5221872,0.3991722,0.646869
1.713873386,-0.3807333,-0.5202303,0.3997011,0.6490526
1.718928337,-0.3791985,-0.5183758,0.4003001,0.6510626
1.723983765,-0.3777577,-0.5165568,0.4009761,0.6529273
1.729039669,-0.3763324,-0.514823,0.401603,0.6547319
1.734095097,-0.3748206,-0.5132139,0.4020858,0.6565636
1.739150524,-0.373264,-0.5117133,0.4024153,0.6584171
1.744205475,-0.3717353,-0.5102721,0.4026179,0.660274
1.749260902,-0.370272,-0.508889,0.4026629,0.6621336
1.754316330,-0.3688367,-0.507623,0.4025176,0.6639922
1.756844044,-0.3680944,-0.507062,0.4023545,0.6649311
1.761899471,-0.3665423,-0.5060921,0.4018413,0.6668348
1.766954899,-0.3648548,-0.505344,0.4011075,0.6687667
1.772009849,-0.3630958,-0.5047982,0.4001838,0.6706868
1.777065277,-0.3613021,-0.5044438,0.3991081,0.6725605
1.782120705,-0.3594876,-0.5042728,0.3979039,0.6743722
1.787176609,-0.3575962,-0.5042956,0.3965791,0.6761388
1.792232037,-0.3556227,-0.5045056,0.3951481,0.6778586
1.797287464,-0.3536603,-0.5048461,0.3936504,0.6795012
1.802342415,-0.3517352,-0.5052941,0.3921095,0.6810566
1.807397842,-0.3498853,-0.505821,0.3905325,0.6825228
1.812453270,-0.3480927,-0.5064127,0.3889479,0.6839041
1.817509174,-0.3463637,-0.5070252,0.3873764,0.6852189
1.822564602,-0.3446922,-0.5076331,0.3858201,0.6864885
1.827619553,-0.3430886,-0.5082092,0.3842691,0.6877344
1.832674980,-0.3415367,-0.5087548,0.3827073,0.6889731
1.837730408,-0.3399851,-0.5092893,0.3811,0.6902356
1.842785358,-0.3385068,-0.5097807,0.3794396,0.6915129
1.847840786,-0.3371024,-0.5102024,0.3776827,0.6928484
1.852896690,-0.3356342,-0.5106563,0.3757285,0.6942878
1.857952118,-0.3341207,-0.5111564,0.373566,0.6958151
1.863007545,-0.3325039,-0.5117192,0.3711885,0.6974464
1.868062973,-0.3308019,-0.512331,0.3685693,0.6991934
1.873117924,-0.3289855,-0.5130119,0.3657063,0.7010521
1.878173351,-0.327095,-0.5137169,0.3626344,0.7030134
1.883228779,-0.3250847,-0.5144641,0.3593934,0.7050607
1.888284683,-0.3230645,-0.5151967,0.3560044,0.7071705
1.893340111,-0.3210903,-0.5158226,0.3525064,0.7093623
1.898395061,-0.3190399,-0.5164469,0.3490133,0.7115571
1.903450489,-0.3170136,-0.5170901,0.3456067,0.7136553
1.908505917,-0.3150463,-0.5177475,0.342335,0.715624
1.913560867,-0.3131275,-0.5184326,0.3392318,0.7174457
1.918616295,-0.3112556,-0.5191348,0.3363204,0.7191213
1.923672199,-0.3094452,-0.5198349,0.333622,0.7206522
1.928727627,-0.3077371,-0.5204983,0.3311645,0.7220369
1.933783054,-0.3061514,-0.5211018,0.3289498,0.7232869
1.938838482,-0.3047973,-0.5215755,0.3269773,0.724411
1.943893433,-0.3036872,-0.5218925,0.3252192,0.7254395
1.948948860,-0.302601,-0.5221691,0.3235738,0.7264293
1.954004288,-0.3017155,-0.5223532,0.3220557,0.7273395
1.959060192,-0.3010274,-0.5224888,0.3205991,0.7281702
1.964119434,-0.3005416,-0.5226014,0.3191778,0.7289141
1.969170570,-0.300145,-0.5227793,0.3177705,0.7295644
1.974225998,-0.2998194,-0.5230411,0.3163848,0.7301128
1.979281425,-0.2996326,-0.5233339,0.3150105,0.7305737
1.981809139,-0.2995928,-0.5234858,0.3143098,0.730783
1.986864567,-0.299577,-0.5238281,0.312849,0.731171
1.991919994,-0.2995865,-0.5242302,0.3112496,0.7315614
1.996975422,-0.2995248,-0.5247394,0.3094634,0.7319791
2.002030373,-0.2993544,-0.5253389,0.3074701,0.7324587
2.007085800,-0.2990665,-0.5259854,0.3052396,0.733045
2.012141704,-0.2985863,-0.5266793,0.302814,0.7337483
2.017197132,-0.2979422,-0.5273924,0.3002386,0.7345558
2.022252559,-0.2970612,-0.5281694,0.297567,0.735441
2.027307510,-0.2959301,-0.5289943,0.2948407,0.7364015
2.032362938,-0.2944604,-0.5299029,0.2921134,0.7374235
2.037418365,-0.2926227,-0.5309089,0.289362,0.7385155
2.042473316,-0.2902318,-0.5320902,0.2865714,0.7396958
2.047529697,-0.2869188,-0.5335827,0.2836392,0.7410422
2.052584648,-0.2829959,-0.535229,0.2806052,0.7425171
2.057640075,-0.2787016,-0.5369367,0.2774951,0.7440754
2.062695503,-0.2740842,-0.5386955,0.2743124,0.745698
2.067750931,-0.26916,-0.5405077,0.2710452,0.747373
2.072805881,-0.2639377,-0.5424126,0.267718,0.7490528
2.077861309,-0.2584669,-0.5444232,0.2643661,0.7506907
2.082917213,-0.2528048,-0.5465661,0.2609757,0.7522463
2.087972641,-0.2469999,-0.5489094,0.2575129,0.7536606
2.093028068,-0.2411705,-0.5515224,0.2540804,0.754805
2.098083019,-0.2354392,-0.5542321,0.2507418,0.7557456
2.103138447,-0.2299682,-0.5569379,0.2476785,0.7564508
2.108193874,-0.2249466,-0.5596043,0.2449737,0.7568735
2.113248825,-0.2205394,-0.562131,0.2426839,0.7570358
2.118305206,-0.2169054,-0.5644248,0.2407873,0.7569846
2.123360157,-0.2139353,-0.5664648,0.2391855,0.7568139
2.128415584,-0.2113255,-0.5683178,0.2377369,0.7566143
2.133471012,-0.2086972,-0.5699893,0.2362994,0.7565368
2.138526439,-0.2057505,-0.5714204,0.2347368,0.7567508
2.143581390,-0.2022157,-0.5726031,0.2329149,0.7573723
2.148636818,-0.1979948,-0.5736193,0.2307882,0.7583688
2.153692722,-0.1930864,-0.5746257,0.2284001,0.7595945
2.158748150,-0.187766,-0.5757442,0.2260286,0.7607899
2.163803577,-0.1826564,-0.5770431,0.224086,0.7616239
2.168858528,-0.178381,-0.5784248,0.2228112,0.7619632
2.173913955,-0.1752974,-0.5798156,0.2221304,0.7618204
2.178969383,-0.1733961,-0.5811672,0.2218599,0.7613044
