Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.748991966,3.908852,-0.07270065,-1.151112,0.112125,0.894825,-0.4056,-13.77293,-47.40224,15.75777,1001.998
0.754001617,4.522611,0.714182,-2.06815,0.108975,0.8832406,-0.4132778,-13.77293,-47.40224,15.75777,1001.998
0.759012222,5.995632,1.077358,-2.4961,0.1087594,0.8752977,-0.4284775,-13.77293,-47.40224,15.75777,1001.998
0.764022350,7.714156,1.198417,-2.862915,0.1077644,0.8767355,-0.4279517,-14.92003,-47.10339,15.28529,1001.998
0.769032478,9.064425,1.137888,-2.924051,0.1063926,0.8779203,-0.4375295,-14.92003,-47.10339,15.28529,1001.998
0.774042129,9.616808,1.380006,-2.985187,0.1037867,0.8829975,-0.4267899,-14.92003,-47.10339,15.28529,1001.996
0.779052257,9.43268,1.380006,-2.924051,0.1096522,0.886739,-0.4366829,-14.92003,-47.10339,15.28529,1001.996
0.784062862,8.266539,1.440535,-3.168595,0.1104495,0.8903793,-0.4250049,-14.92003,-47.10339,15.28529,1001.996
0.789072990,7.284525,1.9853,-3.107459,0.1042066,0.8929451,-0.4340955,-14.92003,-47.10339,15.28529,1001.996
0.794082642,5.750128,2.045829,-3.352002,0.1022986,0.8884459,-0.4309211,-14.92003,-47.10339,15.28529,1001.996
0.799092770,4.952242,2.106359,-3.290866,0.09937229,0.8883573,-0.42903,-14.92003,-47.10339,15.28529,1001.996
0.804103374,3.970228,2.287947,-3.290866,0.09375478,0.8791536,-0.4356795,-14.92003,-47.10339,15.28529,1001.996
0.809113026,3.663349,2.227418,-3.107459,0.09524522,0.8732058,-0.4310867,-14.92003,-47.10339,15.28529,1001.996
0.814123154,3.970228,2.287947,-2.985187,0.09539495,0.8680126,-0.4384904,-14.15455,-47.4099,15.75167,1001.996
0.819133282,4.031604,2.166888,-2.985187,0.09293375,0.8668749,-0.4332713,-14.15455,-47.4099,15.75167,1001.996
0.824142933,4.522611,2.348476,-2.862915,0.09294739,0.8638789,-0.4305021,-14.15455,-47.4099,15.75167,1001.996
0.829153061,4.768115,2.651124,-3.046323,0.09186472,0.8696495,-0.4274098,-14.15455,-47.4099,15.75167,1001.996
0.834163666,4.768115,2.590594,-2.924051,0.08711223,0.8662676,-0.4319077,-14.15455,-47.4099,15.75167,1001.996
0.839173794,4.522611,2.651124,-2.80178,0.09095176,0.8637124,-0.4247613,-14.15455,-47.4099,15.75167,1001.996
0.844183445,4.461236,2.832712,-2.740644,0.09049123,0.8637629,-0.4271662,-14.15455,-47.4099,15.75167,1001.996
0.849193573,4.215732,2.832712,-2.80178,0.09110149,0.8585192,-0.4321649,-14.15455,-47.4099,15.75167,1001.996
0.854203224,4.399859,3.0143,-2.618372,0.09297062,0.8609059,-0.428693,-14.15455,-47.4099,15.75167,1001.996
0.859213829,4.215732,2.772182,-2.618372,0.08811206,0.8648414,-0.4329135,-14.15455,-47.4099,15.75167,1001.994
0.864223957,4.461236,3.0143,-2.679508,0.092425,0.8658001,-0.429473,-13.77293,-47.40224,15.75777,1001.994
0.869234085,4.583987,2.953771,-2.373829,0.09444664,0.8645147,-0.4357494,-13.77293,-47.40224,15.75777,1001.994
0.874243736,4.645363,2.832712,-2.557236,0.09135924,0.872116,-0.4287622,-13.77293,-47.40224,15.75777,1001.994
0.879253864,4.768115,3.135359,-2.557236,0.1011774,0.8654973,-0.4318047,-13.77293,-47.40224,15.75777,1001.994
